Title,Instructor,Keywords,Learn,Description,course_id
DLCV with NLP,,"deep learning course online, computer vision course online, NLP course online","Advance NLP with deep-learning overview., TensorFlow Installation., Pytorch., Neural Network., CNN overview, Advance Computer Vision – Part 1., Advance computer Vision – Part 2., ChatBot., Text processing, Spacy., NLP terminalogy., RNN, Attention Based model., Hardware Setup – GPU., Transfer Learning in NLP., Mini NLP Project., Deployment of Model and Performance tuning., NLP Transfer learning project with deployment and integration with UI., NLP end to end project with architecture and deployment., NLP project end to end with deployment in various cloud and UI integration., Computer Vision Project.","Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural networks. It is a function that imitates the workings of the human brain in processing data and creating patterns for use in decision making. Learn Deep Learning, Transfer Learning and Neural Networks using the latest frameworks. Become a Deep Learning Guru!",351
Big Data Masters Crash Course,Sudhanshu Kumar,"big data course in bangalore, big data analytics course, big data course, big data course syllabus","30+ Big Data Technologies, Big Data Engine Creation, Streaming and Batch Processing of Data, Various SQL Databases, Various NOSQL Databases, Real-Time Implementation, Spark, Hive, Talend, Informatica, Hadoop Distributions, Deployment, DataBricks Implementation",Data is an essential part of any organization. Every organization generates a massive amount of real-time or batch data. This is where Big data plays a vital role irrespective of domain and industry. This complete course is designed to fulfill such requirements so that we will be able to work with a humongous amount of data. You will be able to create your Big Data Engine in your organization by implementing various big data stacks used across the industry.,352
Business Analytics Crash Course,,"business analytics courses in india, business analytics courses in canada, business analytics certification courses","Python, PowerBI, Tableau, Advanced Excel, Statistics",Learn the power of using powerful visualization tools such as PowerBi and Tableau alongside advanced excel coupled with the most important fundamentals of Python,353
Full Stack Data Science,Sunny Bhaveen Chandra,"best data science courses in india 2022 ,data science course syllabus, data science course online with placement, data science course online australia ","Python, Stats, Machine learning, Deep learning, Computer vision, Natural language processing, Data analytics, Big data, Ml ops, Cloud, Data structure and algorithm, Architecture, Domain wise project, Databases, Negotiations skills, Mock interview, Interview preparation, Resume building after every module","This is a full stack data science course where you will learn all the stack required to work in data science, data analytics and big data industry including ML ops and cloud infrastructure .",354
R Programming Projects,,"R Programming Projects r programming course, advance r programming course ","Architecture design, Solution building, Building webapps, Machine learning uses, Working on real time problems, Project presentation skills",This course will help you gain extensive knowledge by building various projects on real-time datasets. This will not only clear all your concepts but also give you in-depth knowledge and hands-on experience of working with R programming on various industry level projects.,355
AIOps Interview Questions,Sunny Bhaveen Chandra,"Deep Learning, DL sciencelogic aiops, aiops tools",,"Artificial Intelligence Operations is the most in-demand technical skill (AIOps). It facilitates the use of DevOps techniques in the creation of AI products. This course will cover a variety of approaches to implementing AIOps methodology in machine learning and deep learning projects, including implementation on AWS, Azure, Google Cloud Platform, and DigitalOcean.",356
AIOps,Sunny Bhaveen Chandra,"aiops courses online, best aipos course 2022","AIOps/MLOps, Linux, Git foundation, Docker, Kubernetes","These days the most in-demand technical expertise is Artificial Intelligence Operations (AIOps). It aids in the application of DevOps principles to AI product development. This course will cover multiple ways to implement AIOps methodology in ML and DL projects, including implementation on various clouds such as AWS, Azure, GCP, and DigitalOcean.Researchers from diverse disciplines widely use it to estimate and analyze the result.",357
Django,Khushali Shah,"best course on django, django free course","Django overview, Project implementation, Project deployment","Django is a Python-based web framework. You'll be developing and learning about Django one step at a time in this course. We'll go through all you need to know about using Python, Django and other web technologies to create a website.",358
Python advance with projects,Sudhanshu Kumar,"python course near me, python course in bangalore, python online course, advance python projects",,"Throughout this course, you will learn everything you need to know about Python, from the basics to advanced topics. Python applications like download manager will be developed using advanced principles to help you become a professional programmer capable of landing well-paying employment.",359
NLP Interview Questions,Sudhanshu Kumar,"NLP interview questions, Nlp interview questions and answers","Learn to solve and answer different NLP based Interview questions , Tackle any Interview , Project Pipeline Algorithm  , Selection Building Solutions","If you are looking for a place to be prepared for your upcoming interviews in Natural Language Processing, then this course is for you. We will discuss all kinds of NLP-based questions that can be asked in an interview and, it will also help you in boosting your confidence. Artificial Intelligence Operations is the most in-demand technical skill (AIOps). It facilitates the use of DevOps techniques in the creation of AI products. This course will cover a variety of approaches to implementing AIOps methodology in machine learning and deep learning projects, including implementation on AWS, Azure, Google Cloud Platform, and DigitalOcean.",360
Deep Learning ANN,Sunny Bhaveen Chandra,deep learning course,"Neural Networks, Perceptron, Evolution of Neural Networks, Maths behind concepts of Neural Networks, Back propagation, Problems faced while training Neural Networks and its solution","Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural networks. It is a function that imitates the workings of the human brain in processing data and creating patterns for use in decision making. Learn Deep Learning, Transfer Learning and Neural Networks using the latest frameworks. Become a Deep Learning Expert !!",361
Data Structures and Algorithms using python,Priya Bhatia,Data Structure and Algorithm dsa Data Structures and Algorithms using python,"Acquire knowledge of various popular algorithms like hash-table, Binary Search, Merge Sort and more, Dynamic programming, Develop some analytical skills and use them efficiently in Data Structure Algorithms, Acquire knowledge on various Sorting Algorithms, Implementation of Data Structures by using Python",The Data Structure and Algorithm program focused on learning algorithmic strategies for addressing a myriad of challenges while having complete control of memory and time. Develop a thorough understanding of how data structures work and how to create efficient algorithms.,362
Introduction to AIOps,Sunny Bhaveen Chandra,"Deep Learning, DL it automation process, machine learning, big data","Introduction of AIOps, AI project generic steps, Project workflow, Project deployment",Artificial Intelligence Operations is the most in-demand technological skill these days (AIOps). It facilitates the use of DevOps techniques in the creation of AI products. This course will provide a thorough theoretical knowledge of the AIOps concept.,363
RASA,Khushali Shah,"Rasa Chatbot NLU ai chatbot course, chatbot course, ","Intents and Entities, Create Conversational Chatbots, Build chatbots using RASA, Conversational interfaces and agents in RASA","Data Scientists are in high demand right now since they can create a chatbot to handle user communications. Chatbots are predicted to be used by approximately 80% of businesses in the near future. Want to be the one who puts it into action? From creating the first file to the deployment on platforms like Facebook and Telegram, the course is meant to teach you how to create a chatbot that can assist consumers with suggestions of computers and phones from Amazon. The course places a strong emphasis on putting what students learn into practice. You will be guided through the entire process of launching your first chatbot using a combination of document and code walkthroughs.",364
Data Science Project,Sudhanshu Kumar,"machine learning, ML projects, ML algorithm, data science projects, data science projects in python, data science projects for beginners ","Data preprocessing, Database operations, Model selection, Project deployment, End-to-end real-time projects","Data science projects are a great way to get started in your career. Working on real-world projects provides us with a sense of an approach to real-world problems. You will learn the principles of data science through several projects and use cases in this course.  This hands-on course provides you with a diverse set of open source data science projects to help you practise, improve, and succeed in your data science career.",365
ML Interview Prepration,Sudhanshu Kumar,"Ml interview questions, ai ml interview questions, top ml interview questions","Profile Building, System Designing, Domain Understanding",Machine Learning Interview-ready course has been created specifically to familiarise you with the types of questions you may encounter during your interview. Machine learning interviews necessitate a broad understanding of machine learning. We've put together a set of questions to see how well you know machine learning principles and technologies.,366
Power BI Projects,Khushali Shah,"power bi projects, power bi course, business reporting","Gain knowledge from end-to-end project reports in PowerBI, Industry-level experience, Power pivots, slicers, power view, data analysis expressions","This course aims to make you aware of the project on a real scenario basis. Solve real-world business challenges using reports, visualizations, and other analytics tools that allow you to gather and exchange data from diverse domains.",367
OpenCV Job Preparation,Khushali Shah,"object detection, OpenCV","Various practical questions, Visual computing questions, Resume discussion, Working with vision projects, Image manipulation, Video manipulation","OpenCV provides a real-time optimized Computer Vision library, tools, and hardware. It also supports model execution for Machine Learning (ML) and computer vision. The goal here is to make you completely ready with OpenCV along with various interview-based questions and a complete detailed roadmap.",368
Ansible,,"ansible course, it configuration management, application deployment ","Ansible fundamentals , Ansible architecture , Installation , Inventory , Modules , Playbooks , Templates , Roles","Ansible is an automation engine that aid with infrastructure provisioning, operating system configuration, application deployment, and much more. Developers use Ansible to automate the creation of development environments that are identical to production settings. The same playbooks can also be used to automate the construction of staging and production environments in operations.",369
C++ Job Preparation,Umang Pincha,"c++ courses for beginners, c++ online course, C++ Program","Tackle difficult interview questions, Present projects in interview, Create application, Distribution, Packaging, Architecture design, Bug testing, Modular coding, Object-oriented programming STL (Structured Template Library) for competitive programming.","C++ Interview-ready course has been created specifically to familiarize you with the types of questions you may encounter during the interview. This course is for the people who want to prepare for their interview after learning all the initial concepts & theories with Project Building. After completing this course, you will be confident enough to crack any discussion related to C++.",370
Digital Marketing Projects,Ankur Khanna,"digital marketing projects, digital marketing projects for students, digital marketing course online","Customer Satisfaction for a Digital Marketing Company, SEM Case Study, A case study of Web Analytics tools, SEO study of websites, Social Media Strategies for Online Shopping Cart, Social Media Campaign Analysis, A case study of Business Landing pages",This course aims to explain the detailed life cycle of digital marketing projects and provide a thorough overview of all digital marketing channels and components. This program specializes in providing hands-on experience and cultivating skills to work on a real-time Problem - solution in digital marketing.,371
Google Cloud Platform,Khushali Shah,"GCP course online, GCP course content ","Cloud Computing, Compute Service, App Engine, Cloud Storage, Google Cloud Billing, Cloud Pricing, IAM, GCP cloud service with respect to ML, DL, NLP with project implementation, Structured certification based sample questions","Google Cloud Platform is one of the most used cloud platforms across the globe that work on the same infrastructure that Google uses internally for its end-user products such as - Google Search, Gmail, Google Drive, and YouTube. In addition, we can use these services in different stacks like Machine Learning, Deep Learning, Big Data, etc. This course gives you a detailed understanding of GCP from essential to advanced, which helps you get various opportunities. Our comprehensive course on Google Cloud Platform (GCP) provides a thorough understanding of one of the most widely used cloud platforms in the world. GCP is built on the same infrastructure that powers Google's own products, like Google Search, Gmail, Google Drive, and YouTube. In this course, you'll learn about Compute Service, App Engine, Cloud Storage, Google Cloud Billing, and Cloud Pricing. We'll also cover IAM (Identity and Access Management), critical for maintaining security and access control within GCP. No prior knowledge of any programming language is required for this course. All you need is a system with an internet connection and dedication to learning. The course curriculum is designed to be easy to follow and engaging, starting with an introduction to cloud computing and GCP, then progressing to more advanced topics, including GCP cloud services for Machine Learning, Deep Learning, and Natural Language Processing.

By the end of the course, you'll have the knowledge and skills needed to confidently work with GCP and its various products and services. Whether you're interested in pursuing a career in cloud computing or simply want to learn more about this fascinating technology, this course is an excellent place to start.",372
Interview ready DSA course in Python,Akarsh Jaiswal,"DSA python course online, DSA course","Basic and Complex data structures and algorithm concepts starting from linked list, array continuing to graph, trees, and ending on advanced programming concepts like dynamic programming, greedy algorithm, etc., An optimised approach to solving complex problems., Competitive programming from basic to advanced level., Deep understanding of the implemented approach., What data structure to use for what questions?, During the course journey, you can see yourself evolving and overcoming the usual mistakes you might have previously committed., This course will help you initiate and work in the right direction for different projects that you can mention in your resume., End to end understanding of the solved questions., Solve questions with the least time complexity., Most importantly, you will learn to face the most challenging problem-solving interviews.",A comprehensive chase to excel any intreview for the Data Structures and Algorithms. The course comprises 250 curated data structures problems grounded on personal interview experiences of students of preceding batches. This course has been specifically designed to provide resources that would assist you in cracking problem-solving interviews. The presented problems in the course would suffice to look on to positive outcomes in the interviews.,373
NLP Crash Course,Sudhanshu Kumar,"NLP course online, NLP syllabus","NLP important topics, Transfer learning mechanism, Real-time project implementation","Natural language processing (NLP) is one of the artificial intelligence's most essential and helpful application fields. As new methodologies and toolsets combine with ever-increasing data availability, NLP is rapidly evolving. In this course, you'll learn about the core concepts of natural language processing (NLP) and how it applies to current and new technologies. You will obtain a comprehensive understanding of contemporary neural network techniques for linguistic data processing. You'll be able to progress from word representation and syntactic processing to creating and executing complicated deep learning models for question answering, machine translation, and other language understanding problems by mastering cutting-edge methodologies.",374
Machine Learning,Sudhanshu Kumar,"aiml course online, ml course online, ml for beginners ","Master machine learning on python, Make robust machine learning models, Use machine learning for personal purpose, Handle advanced techniques like dimensionality reduction, Classify data using K-Means clustering, Support Vector Machines (SVM), KNN, Decision Trees, Naive Bayes, and PCA","This is Machine Learning masters, where you will learn various things from the beginning like python, API, deployment in AWS, Azure, GCP, Heroku, Database, various modules in statistics, all machine learning algorithms.",375
Stats for Data Science,krish naik,"statistics for data science, statistics for data science book, basic statistics for data science","Basic understanding of Statistics, Importance of Statistics in the world of Data Science","Understand what a Normal Distribution is, Explain the difference between continuous and discrete variables, Understand the Central Limit Theorem, Use the Z-Score and Z-Tables, Understand the difference between a normal distribution and a t-distribution, Create confidence intervals, Understand standard deviations, Understand what a sampling distribution is, Apply Hypothesis Testing for Proportions, Use the t-Score and t-Tables",376
Python Crash Course,Sudhanshu Kumar,"python course online, python for data science and machine learning bootcamp, learn python for data science ","Python installation and setup, OOPs concept, Databases, Create API using Flask, Pandas","Throughout this course, you will learn everything you need to know about Python, from the basics to advanced topics. In addition, python applications such as Download Manager will be built using sophisticated techniques to assist you in becoming a professional programmer capable of securing well-paying jobs.",377
Python for Beginner,Sudhanshu Kumar,"machine learning, ML projects, ML algorithm","Python installation and setup, Python basic concepts, Oops concepts",The goal of this course is to educate everyone on the fundamentals of computer programming using Python. We'll go over the fundamentals of building a programme in Python from a set of simple instructions. There are no prerequisites for this course. Anyone with a basic understanding of computers should be able to grasp the valuable content in this course.,378
Machine Learning Projects,Sudhanshu Kumar,"machine learning projects, machine learning projects for final year, machine learning projects with source code, best machine learning project","Machine learning end-to-end project, Problem solving skills and approach","The science of getting computers to act without being explicitly programmed is known as machine learning. This course will teach you about the most effective machine learning techniques and give you practice putting them into practice. More significantly, you'll master not only the theoretical foundations of learning but also the practical know-how required to apply these strategies to new challenges quickly and effectively.",379
Data Structure and Algorithm Job Preparation,Priya Bhatia,"DSA interview questions, DSA job preparation","Problem solving  , Analytical skill  , Design Solution   , Architecture design   , Answer Confidently in interview.  , Upscale your skill as a Developer.    ","Algorithmic programming techniques are a must-have skill. Learn Algorithms through programming and puzzle solving to advance your Software Engineering or Data Science career. Then, implement each algorithmic problem in this program to ace coding interviews.",380
NLP Projects,Sourangshu Pal,"NLP projects, NLP projects for beginners ","Creating rest API's, Project building, Real-time projects, Application workflow","Natural Language Processing (NLP) is a technique for deciphering and manipulating human language using algorithms. One of the most widely used fields of machine learning is this technique. You will gain knowledge of various NLP frameworks like SpaCy, NLTK, Torchtext, TensorFlow, Keras, hugging face, etc., and their project implementation. Study transfer learning in NLP - BERT family and many more.",381
Data Structure and Algorithm Projects,Priya Bhatia,"DSA projects, DSA projects for beginners ","Create efficient algorithms,  Assess the complexity of the time and memory,  Architecture design,  Solution design,  Tech stack integration,  Software development","Algorithms Programming is a must-have skill in the field of software development. Learners have to analyse and construct algorithms for finding, sorting, and indexing data, as well as create trees and graphs and deal with intractability. Industry-level projects that will help you upscale your skills for handling and managing real-world projects.",382
Advance Excel,,"Advance Excel Course, Advance Excel Course Online, Advance Excel Certification course, Advance Excel Training, Advanced Excel Course fees","Excel Interface, Data analysis, Formulas in Excel, Excel Worksheet","Our Advance Excel course is designed for students who are already familiar with the basics of Excel and are ready to take on more challenging tasks. In this course, you will learn advanced data visualization and dashboard design techniques. Our comprehensive curriculum covers essential topics such as Excel interface, data analysis, formulas, and worksheet management. By the end of this course, you will have a deep understanding of how to use pivot tables, evaluate worksheet data, collaborate with others, and create and manage macros. To succeed in this course, you will need a minimum system requirement of an Intel Core i3 processor and 4GB RAM or higher, a decent internet connection, and a dedication to learning. Our curriculum starts with Microsoft Excel fundamentals and covers topics such as launching Excel, customizing the quick access toolbar, and working with numeric data in Excel. We will also teach you how to modify an Excel worksheet, format data, and use conditional formatting to highlight data based on specific criteria.",383
OpenCV Projects,Khushali Shah,"oopenCv projects, openCV projects for beginners, openCV object detection","Develop various projects with OpenCV library and deep learning techniques., Project presentation skills, Feature Extraction",This course will provide you with various OpenCV-based exciting projects to improve your skill and creativity. These projects will also inspire you to build computer vision-based projects in real-time.,384
Computer Vision Projects,Sourangshu Pal,"computer vision projects, computer vision projects for final year, computer vision projects for beginners ","Working with desktop & web applications, Computer vision projects like object detection, object tracking & much more., Full project pipelines from scratch to deployment., Project presentation skills","Computer vision is the study of how computers extract useful information from photos or videos and put it to use in various applications. Examples include reverse engineering, security checks, image editing and processing, computer animation, autonomous navigation, and robots. This course will help you learn and implement various unique vision-based projects with real-world applications and use Computer Vision to tackle numerous real-world issues.",385
Computer Vision,Sourangshu Pal,"computer vision course, advance computer vision course, object detection course online","Basic fundamentals of computer vision., CNN architectures, classification, object detection & segmentation, Image formation, motion estimation, tracking & other fundamentals with computer vision., Various architecture usages with Computer vision for advanced-level works. ","Computer Vision is a field of Artificial Intelligence (AI) that enables computers and systems to derive meaningful information from digital images, videos and other visual inputs and take actions or make recommendations based on that information. If AI enables computers to think, Computer vision allows them to see, observe and understand. Computer vision is used in industries ranging from energy and utilities to manufacturing and automotive, and the market is continuing to grow.",386
GCP Interview,Khushali Shah,"GCP interview, GCP course for beginners ","How to design solutions for GCP platform                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Understand the important concepts of GCP, Interview questions, Sample resumes","This course is designed to prepare you for certifications and provide you with a comprehensive path to help you get started in your career as a newbie, or even an experienced individual, with a deeper grasp of Google Cloud architecture and services.",387
Azure Luis,Khushali Shah,"azure luis chatbot, azure luis interview preparation course ","Get knowledge of various concepts for building chatbots using Bot Builder SDK and LUIS, Chatbot integration with Facebook Messenger, Skype, & Slack, Different cloud platforms like Heroku, AWS, Azure chatbot app deployment, LUIS: intents, entities, production, model training","With a couple of coding sessions, this course is aimed to be more practical than theoretical. You'll have all the tools you need to build a fully working chatbot and integrate it with other platforms like Facebook and Skype by the conclusion of the course.",388
Full Stack Data Science Nov'21 Batch,krish naik,"data science course online, entire data science course, ai and data science course ","Python, Stats, Machine learning, Deep learning, Computer vision, Natural language processing, Data analytics, Big data, Ml ops, Cloud, Data structure and algorithm, Architecture, Domain wise project, Databases, Negotiations skills, Mock interview, Interview preparation, Resume building after every module","This is a data science full stack live mentor led certification program along with full time one-year internship provided by iNeuron intelligence private limited, where you will learn all the stack required to work in data science, data analytics and big data industry including ML ops and cloud infrastructure and real time industry project and product development along with iNeuron product development team and you will contribute on various level with iNeuron .",389
MLDL,krish naik,"MLDL This is Machine Learning masters and Deep Learning, where you will learn various things from beginning like python , API , deployment in Aws , azure , GCP , Heroku , database , various modules in statistics ,all machine learning algorithm , four mode of Chabot live Dialog flow , Amazon Lex , Azure Luis and RASA NLU , and 15+ live project all together in live instructor led class along with various mode of support and services and doubt clearing session.","Python, Stats, Machine learning, Deep learning, Data analytics, Mock interview, Interview preparation, Resume building","This is Machine Learning masters and Deep Learning, where you will learn various things from beginning like python , API , deployment in Aws , azure , GCP , Heroku , database , various modules in statistics ,all machine learning algorithm , four mode of Chabot live Dialog flow , Amazon Lex , Azure Luis and RASA NLU , and 15+ live project all together in live instructor led class along with various mode of support and services and doubt clearing session.",390
Business Analytics,,"business analytics course in bangalore, business analytics course syllabus, business analytics course online","Python, PowerBI, Tableau, Advanced Excel, Statistics",Learn the power of using powerful visualization tools such as PowerBi and Tableau alongside advanced excel coupled with the most important fundamentals of Python,391
AI Operations,Sunny Bhaveen Chandra,"best aiops course online 2022, aiops course online.","AIOps, Linux foundation, GIT foundation, GitHub, Gitlab, Data version control DVC, MLFlow, Docker foundation, Kubernetes Foundation, Tensorflow Extend (TFX), Kubeflow, AWS AIOps, Azure AIOps, GCP AIOps, Digital Ocean","Artificial Intelligence Operations (AIOps) is the most in demand technical skill these days. It helps to incorporate DevOps principle in AI product development. It's a live instructor-led certification program provided by iNeuron intelligence private limited. Here you will learn various methods to implement AIOps methodology in the ML and DL projects which includes implementation on various clouds like AWS, Azure, GCP and DigitalOcean.",392
AWS Cloud Master,Sachin Agarwal,"aws course fees, aws course details, aws course certifications, aws certification online","AWS Certification, All Services, Real time implementation, Understanding of cloud services w.r.t ML, DL,etc by implementing Projects, ETL Pipeline, ML/DL Model Testing and Monitoring, Understand different Cloud Computings, EC2, Elastic Bean, AWS Lightsail, and more, Scenario based questions in AWS Certification","AWS is one of the major cloud providers across the globe comes with a variety of services in different tech stacks and getting certification in AWS plays a vital role to get various opportunities such as cloud administrator, cloud developer, Solution Architect, Machine Learning Speciality, Big Data Speciality, etc. This entire curriculum is designed keeping all the things in mind, so that person can learn, develop and implement in real-time.",393
Big Data Masters,,"big data course online, hdfs course, hadoop certification course, big data certification online","30+ Big Data Technologies, Big Data Engine Creation, Streaming and Batch Processing of Data, Various SQL Databases, Various NOSQL Databases, Real-Time Implementation, Spark, Hive, Talend, Informatica, Hadoop Distributions, Deployment, DataBricks Implementation",Data is an essential part of any organization. Every organization generates a massive amount of real-time or batch data. This is where Big data plays a vital role irrespective of domain and industry. This complete course is designed to fulfill such requirements so that we will be able to work with a humongous amount of data. You will be able to create your Big Data Engine in your organization by implementing various big data stacks used across the industry.,394
30 days Fast Track Data Science Interview Preparation,krish naik,data science interview preparation course,"Profile Building, System Designing, Domain Understanding, Common Mistakes, Project Management, ML Interview Questions, DL Interview Questions, NLP Interview Questions, Stats Interview Questions, Python Interview Questions, Computer Vision Interview Questions, Mock Interview","This course is designed for an individual trying to transition towards various data science careers in the industry. Keeping all the hurdles in mind that we generally face during your transition so that your journey will be smooth and without losing any opportunity, you will be able to transition in the industry. Discuss, Collaborate, Participate and Win the Race.",395
End to End Object Detection,Sourangshu Pal,"object detection course, object detection course online, best way to do object detection","Python Basics, Flask Development, Pycharm Basics, Debug Applications, Tensorflow1.x Object Detection, Tensorflow2.x Object Detection, Detectro2 Object Detection/Segmentation, Yolo Object Detection, Working with Images, Working with Videos","Become an Object Detection Guru  with the latest frameworks available like Tensorflow, Detectron2 and Yolo. In this course you will be learning to create four different object detector using multiple frameworks from scratch.",396
Class 10 Biology,,"Class 10 Biology Biology is the study of life. It is the study of living organisms and how they interact with the environment. Biology recognizes the cell as the basic unit of life, genes as the unit of heredity and evolution as an engine which boosts the formation of new species. The study of life has helped in shaping the world. It has credible answers to why things happen in a scientific manner. iNeuron allows you to explore all the content from NCERT physics in a proper manner and flow.","Entire NCERT Class 10th Biology Syllabus, Chapter wise solution with detailed explanation","Biology is the study of life. It is the study of living organisms and how they interact with the environment. Biology recognizes the cell as the basic unit of life, genes as the unit of heredity and evolution as an engine which boosts the formation of new species. The study of life has helped in shaping the world. It has credible answers to why things happen in a scientific manner. iNeuron allows you to explore all the content from NCERT physics in a proper manner and flow.",397
Class 10 Chemistry,,"Class 10 Chemistry Find out how to create a balanced chemical equation and learn about chemical reactions with CBSE Class 10 Chemistry learning resources. On TopperLearning, our experts support you to understand chemistry with CBSE Class 10 Chemistry notes such as CBSE Class 10 Chemistry notes, MCQs and NCERT solutions as per the latest syllabus.","Entire NCERT Class 10th Chimestry Syllabus, Chapter wise solution with detailed explanation","Find out how to create a balanced chemical equation and learn about chemical reactions with CBSE Class 10 Chemistry learning resources. On TopperLearning, our experts support you to understand chemistry with CBSE Class 10 Chemistry notes such as CBSE Class 10 Chemistry notes, MCQs and NCERT solutions as per the latest syllabus.",398
Class 10 Physics,Jwala Prakash,"Class 10 Physics Physics is a combination of theoretical and practical knowledge. The Physics syllabus includes laws, formulas, equations, theories and series of experiments which a student must grab. The subject leads you to the real world of imagination, the planetary motions and the universe which sounds an interesting one, isn’t it? NCERT covers all the conceptual points properly but they are very summerized in the book. iNeuron allows you to explore all the content from NCERT physics in a proper manner and flow.","Entire NCERT Class 10th Physics Syllabus, Chapter wise solution with detailed explanation","Physics is a combination of theoretical and practical knowledge. The Physics syllabus includes laws, formulas, equations, theories and series of experiments which a student must grab. The subject leads you to the real world of imagination, the planetary motions and the universe which sounds an interesting one, isn’t it? NCERT covers all the conceptual points properly but they are very summerized in the book. iNeuron allows you to explore all the content from NCERT physics in a proper manner and flow.",399
Class 10 Mathematics,Jayant Topnani,"Class 10 Mathematics Maths is a subject that needs a lot of practice, memorisation of formulas and a clear understanding of concepts. It is a scoring subject for students of Class 10 if they practice it on a regular basis. CBSE syllabus for Class 10 Maths for the academic year 2020-2021 includes topics such as number systems, algebra, coordinate geometry, etc. All the units mentioned in the CBSE 10th Maths syllabus is important because the final question paper is prepared as per the syllabus. It also provides information about marks weightage, practicals, assignments, projects, etc.","Entire NCERT Class 10th Mathematics Syllabus, Chapter wise solution with detailed explanation","Maths is a subject that needs a lot of practice, memorisation of formulas and a clear understanding of concepts. It is a scoring subject for students of Class 10 if they practice it on a regular basis. CBSE syllabus for Class 10 Maths for the academic year 2020-2021 includes topics such as number systems, algebra, coordinate geometry, etc. All the units mentioned in the CBSE 10th Maths syllabus is important because the final question paper is prepared as per the syllabus. It also provides information about marks weightage, practicals, assignments, projects, etc.",400
Mega Community,Sunny Bhaveen Chandra,free online classes,"End to End data Science project, Tech used in industry ",This is a free community live class where multiple projects have been discussed by various mentors in the field of data science.,401
Data Structure and Algorithms with competitive programming,Priya Bhatia,"DSA course online, competitive programming courses, competitive programming, DSA Certification Course, DSA courses Online","Analysis in Algorithms, Divide and Conquer, Greedy Technique, Dynamic Programming, Arrays, Linked List, Skip List, Hashing, Tree, Graph Traversal, Tree Traversal, Programming, Stack, Queue, String Matching, NP-Hard and NP-Complete Problems","This course on Data Structures and Algorithms with Competitive Programming is designed for beginners to advance in Python language. The entire course will cover topics such as analysis of algorithms, divide and conquer, greedy techniques, dynamic programming, arrays, linked lists, skip lists, hashing, trees, graph traversal, stack, queue, string matching, NP-Hard and NP-Complete problems, and much more. You'll learn about asymptotic notation, including big O, omega, and theta, and how to solve recurrence relations. We'll explore divide and conquer techniques, greedy techniques, and dynamic programming. You'll also learn about arrays, searching and sorting techniques. To take this course, you'll need dedication and a PC with internet connectivity. By the end of this course, you'll have a solid understanding of data structures and algorithms and be able to apply them to solve real-world problems.",402
MERN Stack Beginner to Advance with Internship,Keshav Singh,"MERN Stack Beginner to Advance with Internship This is a  MERN stack live mentor led certification program along with full time 6 monthsinternship provided by iNeuron intelligence private limited, where you will learn all the stack required to work in MERN, hosting including cloud technologies and real time industry project and product development along with iNeuron product development team and you will contribute on various level with iNeuron .","HTML, CSS, Javascript, Diving deep in core JS, Exploring Functional nature of JS, JSX in Depth, MongoDB, Node.js, Databases in Node.js, NoSql databases, File Handling, Building a Full fledge e-commerce application, Socket API, Testing in Node","This is a  MERN stack live mentor led certification program along with full time 6 monthsinternship provided by iNeuron intelligence private limited, where you will learn all the stack required to work in MERN, hosting including cloud technologies and real time industry project and product development along with iNeuron product development team and you will contribute on various level with iNeuron .",403
Deep Learning With Computer Vision and Advanced NLP,krish naik,best deep learning course online 2022,"Advance NLP with deep-learning overview., TensorFlow Installation., Pytorch., Neural Network., CNN overview, Advance Computer Vision – Part 1., Advance computer Vision – Part 2., ChatBot., Text processing, Spacy., NLP terminalogy., RNN, Attention Based model., Hardware Setup – GPU., Transfer Learning in NLP., Mini NLP Project., Deployment of Model and Performance tuning., NLP Transfer learning project with deployment and integration with UI., NLP end to end project with architecture and deployment., NLP project end to end with deployment in various cloud and UI integration., Computer Vision Project.","Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure andfunction of the brain called artificial neural networks. It is a function that imitates the workings of the human brain in processing data and creating patterns for use in decision making. Learn Deep Learning, Transfer Learning and Neural Networks using the latest frameworks. Become a Deep Learning Guru!",404
Business Analytics Masters with 3 month Internship,Amit Bose,"business analytics course in bangalore, business analytics course syllabus, business analytics course online","Python, PowerBI, Tableau, Advanced Excel, Statistics ",Learn the power of using powerful visualization tools such as PowerBi and Tableau alongside advanced excel coupled with the most important fundamentals of Python,405
Machine Learning And Deep Learning Masters,krish naik,"machine learning course, best machine learning course, machine learning course in pune","Python, Stats, Machine learning, Deep learning, Data analytics, Mock interview, Interview preparation, Resume building ","This is Machine Learning masters and  Deep Learning, where you will learn various things from beginning like python , API , deployment in Aws , azure , GCP , Heroku  , database , various modules in statistics ,all machine learning algorithm , four mode of Chabot live Dialog flow , Amazon Lex , Azure Luis and RASA NLU , and 15+ live project all together in live instructor led class along with various mode of support and services and doubt clearing session.",406
